DEPOSIT_NAME,CRITICAL_MINERAL,DEPOSIT_TYPE,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
Viitaniemi,Beryllium,Pegmatite,61.584444,24.677222,Finland,
Kymi,Beryllium,Non-pegmatite,60.5811499,26.8989086,Finland,
Schwarzwald,Beryllium,Non-pegmatite,48.366667,8.216667,Germany,
Triberg,Beryllium,Non-pegmatite,48.1363,8.2365,Germany,
Aschaffenburg,Beryllium,Pegmatite,49.965278,9.184167,Germany,
Fichtelgebirge,Beryllium,Pegmatite,50,12,Germany,
Hagendorf-Süd,Beryllium,Pegmatite,49.650278,12.459722,Germany,
Königshein,Beryllium,Pegmatite,50.9666667,12.8833333,Germany,
Greifenstein,Beryllium,Pegmatite,50.648611,12.931111,Germany,
Tittling,Beryllium,Pegmatite,48.727778,13.381111,Germany,
Ivigtut,Beryllium,Non-pegmatite,61.206111,-48.175556,Greenland,
Kvanefjeld,Beryllium,Peralkaline intrusion Be,60.975,-45.991667,Greenland,
Trivandrum,Beryllium,Pegmatite,8.483333,76.983333,India,
Val Vigezzo,Beryllium,Pegmatite,46.128889,8.413889,Italy,
Baveno,Beryllium,Pegmatite,45.916667,8.5,Italy,
Cuasso al Monte,Beryllium,Pegmatite,45.866667,8.866667,Italy,
Chiavenna Mountain,Beryllium,Pegmatite,46.3167,9.4,Italy,
Kobe,Beryllium,Pegmatite,34.6911,135.1973,Japan,
Aqshatau,Beryllium,Skarn and Greisen-Hosted Be-F,47.981111,74.056111,Kazakhstan,
Bota Burum,Beryllium,Pegmatite,46.166667,81.583333,Kazakhstan,
Zhanuzak,Beryllium,Pegmatite,49.68513,82.17266,Kazakhstan,
Kokshetau,Beryllium,Non-pegmatite,53.277778,69.388889,Kazakhstan,
Elenovsk Complex,Beryllium,Non-pegmatite,53.333333,69.416667,Kazakhstan,
Qaraoba,Beryllium,Non-pegmatite,47.266667,72.25,Kazakhstan,
Kounrad,Beryllium,Non-pegmatite,47.018889,75.135,Kazakhstan,
Qatpar,Beryllium,Non-pegmatite,52.6883262,76.4868851,Kazakhstan,
Verkhnee Espe,Beryllium,Non-pegmatite,48.1,81.45,Kazakhstan,
Ampandramaika pegmatite,Beryllium,Pegmatite,-20.84835,45.87385,Madagascar,
Bemokto,Beryllium,Pegmatite,-21.15,45.95,Madagascar,
Ambatovita,Beryllium,Pegmatite,-20.746667,46.075,Madagascar,
Anjanabonoina,Beryllium,Rare-metal pegmatite,-19.916667,46.533333,Madagascar,
Ambatonapetraka (Miandrarivo),Beryllium,Pegmatite,-19.978611,46.951111,Madagascar,
Antsofimbato,Beryllium,Pegmatite,-19.984722,46.952222,Madagascar,
Bemasoandrao pegmatite,Beryllium,Pegmatite,-21.4536,47.0858,Madagascar,
Malakialina,Beryllium,Pegmatite,-18.66667,47.2,Madagascar,
Madagascar,Beryllium,Non-pegmatite,-18.3714,47.5424,Madagascar,
Marivolanitra,Beryllium,Pegmatite,-18.16667,48,Madagascar,
Ambodibonara pegmatite,Beryllium,Pegmatite,-13.15849,48.85511,Madagascar,
Khaldzan-Burgtey,Beryllium,Pegmatite,48.408611,91.950833,Mongolia,
Altai,Beryllium,Non-pegmatite,48.538889,92.925,Mongolia,
Altai #3,Beryllium,Pegmatite,46.372778,96.257222,Mongolia,
Hutag Ull Ord,Beryllium,Pegmatite,49.395,102.69333,Mongolia,
Goricho,Beryllium,Pegmatite,48.1502,107.576,Mongolia,
Undur Tsagaan,Beryllium,Pegmatite,47.866667,110.166667,Mongolia,
Buren-Tsogto Mine,Beryllium,Pegmatite,46.733333,111.716667,Mongolia,
Khukh-Del-Ula,Beryllium,Pegmatite,50.1,114.6667,Mongolia,
Yugozor mine,Beryllium,Pegmatite,45.9,115.4,Mongolia,
Muambe,Beryllium,Non-pegmatite,-16.32306,34.09417,Mozambique,
Donkerhoek,Beryllium,Pegmatite,-23.63333,15.96667,Namibia,
Taghouaji,Beryllium,Non-pegmatite,17.161667,8.510833,Niger,
Nasarawa Eggon,Beryllium,Pegmatite,8.52944,7.72417,Nigeria,
Ririwai,Beryllium,Non-pegmatite,10.44,8.44,Nigeria,
Nandu,Beryllium,Pegmatite,9.23333,8.51667,Nigeria,
Saiya-Shokobo,Beryllium,Non-pegmatite,10.383333,8.933333,Nigeria,
Sabon Wana,Beryllium,Pegmatite,9.166667,9.75,Nigeria,
Bauchi,Beryllium,Pegmatite,10.30982,9.845172,Nigeria,
Skarsfjell,Beryllium,Pegmatite,58.73458,5.7452,Norway,
Evje-Iveland,Beryllium,Pegmatite,58.6,7.85,Norway,
Heftetjern,Beryllium,Pegmatite,59.183333,8.75,Norway,
Tørdal district,Beryllium,Pegmatite,59.15,8.8,Norway,
Høydalen,Beryllium,Pegmatite,59.14,9.266,Norway,
Langesundsfjord,Beryllium,Pegmatite,59.0005,9.7473,Norway,
Byrud Minnesund,Beryllium,Non-pegmatite,60.3940558,11.2207786,Norway,
Eidsvoll,Beryllium,Non-pegmatite,60.3167,11.2333,Norway,
Høgtuva Mountain,Beryllium,Pegmatite,66.404167,13.876389,Norway,
Makhad,Beryllium,Non-pegmatite,33.1307986,71.7392639,Pakistan,
Gujar Kili,Beryllium,Non-pegmatite,35.316667,71.833333,Pakistan,
Swat,Beryllium,Non-pegmatite,34.7933331,72.2889308,Pakistan,
Mingora,Beryllium,Non-pegmatite,34.7833,72.3667,Pakistan,
Charbagh,Beryllium,Non-pegmatite,34.8333333,72.4416667,Pakistan,
Stak Nala,Beryllium,Pegmatite,35.7,74.066667,Pakistan,
Khaltaro,Beryllium,Pegmatite,36.1977936,74.0851665,Pakistan,
Gilgit,Beryllium,Non-pegmatite,35.952035,74.5931921,Pakistan,
Shengus,Beryllium,Pegmatite,35.816667,74.816667,Pakistan,
Indus Suture,Beryllium,Non-pegmatite,31,88,China,
Macusani,Beryllium,Non-pegmatite,-14.14529188,-70.2359952,Peru,
Strzegom,Beryllium,Pegmatite,50.983333,16.333333,Poland,
Western Iberia,Beryllium,Non-pegmatite,41.763611,-6.735,Portugal,
Pitkäranta,Beryllium,Non-pegmatite,61.575,31.4777778,Russia,
Murmansk,Beryllium,Pegmatite,68.9543,33.1076,Russia,
Orlinogorski,Beryllium,Non-pegmatite,68.15,33.283333,Russia,
Khibiny,Beryllium,Pegmatite,67.616667,33.883333,Russia,
Western Keivy,Beryllium,Pegmatite,67.633333,36.7,Russia,
Voznesenkoye,Beryllium,Skarn and Greisen-Hosted Be-F,44.55982,41.03399,Russia,
Mursink,Beryllium,Pegmatite,57,61.466667,Russia,
Troitsky,Beryllium,Non-pegmatite,54.0833333,61.5666667,Russia,
Reft River,Beryllium,Non-pegmatite,57.053645,61.826675,Russia,
Boevskoe,Beryllium,Non-pegmatite,56.416667,62.033333,Russia,
Upper Tura River,Beryllium,Pegmatite,57.15,65.533333,Russia,
Marinksy,Beryllium,Non-pegmatite,56.2166667,87.75,Russia,
Ermakovskoe,Beryllium,Non-pegmatite,52.5035118,92.5932658,Russia,
Kyzyl City,Beryllium,Non-pegmatite,51.716667,94.45,Russia,
Buryatia,Beryllium,Non-pegmatite,54.8331146,112.4060529,Russia,
Sherlova Gora,Beryllium,Non-pegmatite,50.52,116.3,Russia,
Baid al Jimalah,Beryllium,Non-pegmatite,25.15,42.691667,Saudi Arabia,
Gravelotte,Beryllium; Titanium,Non-pegmatite; Sedimentary related,-23.95,30.616667,South Africa,
Noumas,Beryllium,Pegmatite,-29.8167,22.55,South Africa,
Franqueira,Beryllium,Non-pegmatite,42.18218,-8.35985,Spain,
Forcarei,Beryllium,Pegmatite,42.5923,-8.3509,Spain,
Galicia,Beryllium,Non-pegmatite,42.575111,-8.133866,Spain,
Ratnapura,Beryllium,Non-pegmatite,6.666667,80.4,Sri Lanka,
Sri Lanka,Beryllium,Pegmatite,7.5653,80.4303,Sri Lanka,
Elahera,Beryllium,Non-pegmatite,7.715,80.784722,Sri Lanka,
Högsbo,Beryllium,Pegmatite,57.663611,11.945556,Sweden,
Klintberget,Beryllium,Pegmatite,59.983333,13.933333,Sweden,
Långban,Beryllium,Pegmatite,59.853611,14.259444,Sweden,
Stora Vika,Beryllium,Pegmatite,58.933333,17.8,Sweden,
Stockholm area,Beryllium,Pegmatite,59.329444,18.068611,Sweden,
Rånö,Beryllium,Pegmatite,58.9331,18.1831,Sweden,
Norrö,Beryllium,Pegmatite,59.5,18.266667,Sweden,
Utö,Beryllium; Lithium,Pegmatite,58.966667,18.316667,Sweden,
Nyköping,Beryllium,Pegmatite,58.983333,18.333333,Sweden,
Ytterby,Beryllium,Pegmatite,59.426667,18.353333,Sweden,
Varuträsk,Beryllium; Lithium,Pegmatite,64.800833,20.741111,Sweden,
Blauberg,Beryllium,Non-pegmatite,46.62,8.49,Switzerland,
Griesserental,Beryllium,Non-pegmatite,46.766667,8.733333,Switzerland,
Rangkul',Beryllium,Pegmatite,38.473056,74.253889,Tajikistan,
Phuket Island,Beryllium,Non-pegmatite,7.89,98.3983,Thailand,
Khao Kata Kwham,Beryllium,Non-pegmatite,8.583333,98.5,Thailand,
Perga,Beryllium,Non-pegmatite,51.39806,27.89444,Ukraine,
Korosten pluton,Beryllium,Pegmatite,51,28.5,Ukraine,
Seward Peninsula,Beryllium,Skarn and Greisen-Hosted Be-F,65.536944,-167.143333,United States of America,Alaska
Golden Horn batholith,Beryllium,Pegmatite,48.524167,-120.653056,United States of America,Washington
Oreana,Beryllium,Non-pegmatite,38.865,-119.47722,United States of America,Nevada
Steamboat Springs,Beryllium,Pegmatite,38.588889,-119.377778,United States of America,Nevada
Mount Wheeler,Beryllium,Veins,38.6776931,-119.1168176,United States of America,Nevada
Birch Creek,Beryllium,Non-pegmatite,37.374444,-118.136111,United States of America,California
Golconda,Beryllium,Pegmatite,40.95,-117.483333,United States of America,Nevada
Pala Chief Mine,Beryllium,Pegmatite,33.3875,-117.051389,United States of America,California
Mesa Mountain,Beryllium,Pegmatite,33.293056,-116.964722,United States of America,California
Rincon Mountain,Beryllium,Pegmatite,33.288056,-116.958333,United States of America,California
Clark Extension,Beryllium,Pegmatite,33.257778,-116.937778,United States of America,California
Himalaya,Beryllium,Pegmatite,33.211944,-116.797778,United States of America,California
Sawtooth,Beryllium,Pegmatite,43.912778,-115.891389,United States of America,Idaho
McCullough Butte,Beryllium,Carbonate-hosted Be,35.602893,-115.180082,United States of America,Nevada
Alphabet Group Prospect,Beryllium,Pegmatite,43.952778,-114.981111,United States of America,Idaho
Magnet Cove,Beryllium,Pegmatite,34.883333,-113.95,United States of America,Arizona
Rodenhouse Wash,Beryllium,Pegmatite/granite Be,40.118333,-113.798333,United States of America,Utah
Gold Hill,Beryllium,Veins,40.161389,-113.79,United States of America,Utah
Honeycomb Hills,Beryllium,Non-pegmatite,39.705833,-113.586944,United States of America,Utah
Tungstona mine,Beryllium,Non-pegmatite,34.629444,-113.154167,United States of America,Arizona
Black Pearl mine,Beryllium,Non-pegmatite,34.687222,-113.034444,United States of America,Arizona
Wah-Wah,Beryllium,Non-pegmatite,38.439444,-112.715833,United States of America,Utah
Sheeprock,Beryllium,Skarn and Greisen-Hosted Be-F,39.937778,-112.508611,United States of America,Utah
Black Mountains,Beryllium,Non-pegmatite,33.4797901,-107.7455959,United States of America,New Mexico
Silverton,Beryllium,Non-pegmatite,37.811941,-107.6645057,United States of America,Colorado
Iron Mountain,Beryllium,Carbonate-hosted Be,33.469722,-107.636944,United States of America,New Mexico
Apache Warm Springs,Beryllium,Volcanogenic-hosted Be,33.561944,-107.595556,United States of America,New Mexico
Brown Derby,Beryllium,Pegmatite,38.541667,-106.625556,United States of America,Colorado
Mount Antero,Beryllium,Non-pegmatite,38.673889,-106.246944,United States of America,Colorado
Harding,Beryllium; Lithium,Pegmatite,36.19264771,-105.7948219,United States of America,New Mexico
Meyers Ranch,Beryllium,Pegmatite,38.793056,-105.595278,United States of America,Colorado
Cornudas Mountain,Beryllium,Non-pegmatite,32.049444,-105.525,United States of America,New Mexico
Wind Mountain,Beryllium,Pegmatite,32.025278,-105.515278,United States of America,New Mexico
Sierra Blanca,Beryllium,Carbonate-hosted Be,31.2875,-105.451667,United States of America,Texas
Boomer mine,Beryllium,Skarn and Greisen-Hosted Be-F,39.076389,-105.448333,United States of America,Colorado
Redskin Granite,Beryllium,Non-pegmatite,39.099167,-105.417778,United States of America,Colorado
Big Bertha,Beryllium,Pegmatite,39.336944,-105.2175,United States of America,Colorado
Twin Cedars,Beryllium,Pegmatite,39.381389,-105.211389,United States of America,Colorado
Pidlite,Beryllium,Pegmatite,35.9867,-104.9191,United States of America,New Mexico
Pikes Peak,Beryllium,Pegmatite,38.8175,-104.914167,United States of America,Colorado
St. Peter's Dome,Beryllium,Pegmatite,38.7475,-104.911111,United States of America,Colorado
Tip Top,Beryllium,Pegmatite,43.715556,-103.669444,United States of America,South Dakota
Roosevelt pegmatite,Beryllium,Pegmatite,43.7275,-103.6125,United States of America,South Dakota
Dan Patch,Beryllium,Pegmatite,43.894444,-103.441667,United States of America,South Dakota
Hugo,Beryllium,Pegmatite,43.871111,-103.425,United States of America,South Dakota
Peerless,Beryllium,Pegmatite,43.890278,-103.419444,United States of America,South Dakota
Etta,Beryllium,Pegmatite,43.880556,-103.418889,United States of America,South Dakota
Barringer Hill,Beryllium,Pegmatite,30.7062,-98.5554,United States of America,Texas
Llano County,Beryllium,Pegmatite,30.7581,-98.2281,United States of America,Texas
Hurricane Mountain,Beryllium,Pegmatite,35.885833,-82.278889,United States of America,North Carolina
South Toe River,Beryllium,Pegmatite,35.805278,-82.213056,United States of America,North Carolina
Gaston McDowell,Beryllium,Pegmatite,35.835556,-82.173611,United States of America,North Carolina
McKinney,Beryllium,Pegmatite,35.916667,-82.066667,United States of America,North Carolina
Wiseman,Beryllium,Pegmatite,35.916667,-82.066667,United States of America,North Carolina
Brush Creek Mountain,Beryllium,Pegmatite,35.882222,-82.056944,United States of America,North Carolina
Plumtree,Beryllium,Pegmatite,36.059722,-82.010833,United States of America,North Carolina
Bessemer City,Beryllium,Pegmatite,35.337942,-81.310106,United States of America,North Carolina
Hiddenite,Beryllium,Non-pegmatite,35.9,-81.083333,United States of America,North Carolina
Franklin,Beryllium; Gallium,Pegmatite; Ga in Clastic-dominated Pb-Zn,41.11566875,-74.58743757,United States of America,New Jersey
Ridgefield,Beryllium,Pegmatite,41.293056,-73.516389,United States of America,Connecticut
Brookfield,Beryllium,Pegmatite,41.4825,-73.409444,United States of America,Connecticut
Danbury line,Beryllium,Pegmatite,41.451111,-73.395,United States of America,Connecticut
Biermann,Beryllium,Pegmatite,41.354167,-73.350556,United States of America,Connecticut
East Village pegmatite,Beryllium,Pegmatite,41.365833,-73.184722,United States of America,Connecticut
Smith-Bullock,Beryllium,Pegmatite,43.6115,-71.7929,United States of America,New Hampshire
Crooker pegmatite,Beryllium,Pegmatite,44.544167,-70.723611,United States of America,Maine
Dunton Gem Quarry,Beryllium,Pegmatite,44.542778,-70.723056,United States of America,Maine
Newry,Beryllium,Pegmatite,44.544444,-70.721111,United States of America,Maine
Rockport,Beryllium,Pegmatite,42.6556,-70.6208,United States of America,Massachusetts
Mount Mica,Beryllium; Lithium,Pegmatite,44.26919654,-70.47330822,United States of America,Maine
Peg Claims,Beryllium,Pegmatite,44.1203,-69.24,United States of America,Maine
Kafubu,Beryllium,Non-pegmatite,-12.828056,28.193333,Zambia,
Filabusi,Beryllium,Non-pegmatite,-20.53981,29.28281,Zimbabwe,
Mweza,Beryllium,Non-pegmatite,-20.916668,29.933332,Zimbabwe,
Fort Victoria,Beryllium,Non-pegmatite,-20.07444,30.83278,Zimbabwe,
Harare,Beryllium,Pegmatite,-17.863889,31.029722,Zimbabwe,
Kambalda,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,-31.636,121.649,Australia,
Mount Keith,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,-27.713,120.533,Australia,
Savannah,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,-17.353,128.022,Australia,
Americano do Brasil,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,-16.103,-50.075,Brazil,
Fortaleza de Minas,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,-20.997,-48.499,Brazil,
Santa Rita,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,-14.185,-39.725,Brazil,
Dumont,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,48.649,-78.442,Canada,
Ferguson Lake,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,62.917,-96.967,Canada,
Makwa,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,50.467,-95.433,Canada,
Nunavik,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,61.574,-73.26,Canada,
Raglan,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,61.593,-74.291,Canada,
Shakespeare,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit,46.35,-81.833,Canada,
Sudbury Complex,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Sudbury,46.633,-81.383,Canada,
Thompson,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,53.761,-98.814,Canada,
Turnagain,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,58.476,-128.828,Canada,
Voisey's Bay,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,45.499,-73.57,Canada,
Wellgreen,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,60.75,-139.502,Canada,
Jinchuan,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit,38.467,102.167,China,
Yangliuping,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit,30.667,102,China,
Hitura,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Synorogenic,63.842,25.051,Finland,
Kevitsa,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Atypical; pipe-like ore bodies,67.7,29.967,Finland,
Kotalahti,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,62.522,27.681,Finland,
Laukunkangas,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,62.045,28.77,Finland,
Stormi,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,61.332,24.903,Finland,
Bruvann,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,68.332,16.944,Norway,
Stormyra,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,61.344,9.658,Norway,
Ertelien,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,60.07,10.046,Norway,
Flåt,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,58.598,7.871,Norway,
NKT,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,67.94,32.82,Russia,
Pechenga,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,69.332,29.737,Russia,
Sopchuaivench,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,67.88,32.82,Russia,
Nkomati,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,-25.667,30.5,South Africa,
Aguablanca,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Synorogenic,37.85,-6.183,Spain,
Kabanga,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit,-2.867,30.583,Tanzania,
Eagle,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,46.748,-87.895,United States of America,Michigan
Mesaba,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,47.632,-91.883,United States of America,Minnesota
Northmet,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,47.6,-91.967,United States of America,Minnesota
Twin Metals,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,47.801,-91.756,United States of America,Minnesota
Munali,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,-15.997,28.001,Zambia,
Browns,Cobalt,Stratiform sediment-hosted Cu-Co,-13.068,131.079,Australia,
Emmie Bluff,Cobalt,Stratiform sediment-hosted Cu-Co,-31.1,137.167,Australia,
Mount Gunson,Cobalt,Stratiform sediment-hosted Cu-Co,-31.45,137.25,Australia,
Pyrite Hill-Big Hill,Cobalt,Stratiform sediment-hosted Cu-Co,-32.117,141.2,Australia,
Windabout,Cobalt,Stratiform sediment-hosted Cu-Co,-31.3,137.16,Australia,
Tangdan,Cobalt,Stratiform sediment-hosted Cu-Co,26.117,103.167,China,
Deziwa,Cobalt,Stratiform sediment-hosted Cu-Co,-10.775,25.768,Democratic Republic of the Congo,Kinshasa
Dilala East,Cobalt,Stratiform sediment-hosted Cu-Co,-10.7,25.467,Democratic Republic of the Congo,Kinshasa
DIMA,Cobalt,Stratiform sediment-hosted Cu-Co,-10.741,25.375,Democratic Republic of the Congo,Kinshasa
Disele,Cobalt,Stratiform sediment-hosted Cu-Co,-10.754,26.254,Democratic Republic of the Congo,Kinshasa
Écaille C,Cobalt,Stratiform sediment-hosted Cu-Co,-10.76,26.115,Democratic Republic of the Congo,Kinshasa
Etoile,Cobalt,Stratiform sediment-hosted Cu-Co,-11.634,27.581,Democratic Republic of the Congo,Kinshasa
Kababankola,Cobalt,Stratiform sediment-hosted Cu-Co,-10.733,26.423,Democratic Republic of the Congo,Kinshasa
Kabolela,Cobalt,Stratiform sediment-hosted Cu-Co,-10.69,26.45,Democratic Republic of the Congo,Kinshasa
Kakanda,Cobalt,Stratiform sediment-hosted Cu-Co,-10.739,26.398,Democratic Republic of the Congo,Kinshasa
Kalukundi-Kii,Cobalt,Stratiform sediment-hosted Cu-Co,-10.624,25.909,Democratic Republic of the Congo,Kinshasa
Kambove,Cobalt,Stratiform sediment-hosted Cu-Co,-10.851,26.611,Democratic Republic of the Congo,Kinshasa
Kamfundwa,Cobalt,Stratiform sediment-hosted Cu-Co,-10.813,26.586,Democratic Republic of the Congo,Kinshasa
Kamoto-KOV-Musonie-Mupine,Cobalt,Stratiform sediment-hosted Cu-Co,-10.72,25.401,Democratic Republic of the Congo,Kinshasa
Kananga,Cobalt,Stratiform sediment-hosted Cu-Co,-10.677,25.477,Democratic Republic of the Congo,Kinshasa
Kazibizi,Cobalt,Stratiform sediment-hosted Cu-Co,-10.833,26.567,Democratic Republic of the Congo,Kinshasa
Kipapila,Cobalt,Stratiform sediment-hosted Cu-Co,-12.016,27.901,Democratic Republic of the Congo,Kinshasa
Kipoi Central,Cobalt,Stratiform sediment-hosted Cu-Co,-11.256,27.099,Democratic Republic of the Congo,Kinshasa
Kipoi North,Cobalt,Stratiform sediment-hosted Cu-Co,-11.256,27.099,Democratic Republic of the Congo,Kinshasa
Kisanfu,Cobalt,Stratiform sediment-hosted Cu-Co,-10.774,25.975,Democratic Republic of the Congo,Kinshasa
Luishia,Cobalt,Stratiform sediment-hosted Cu-Co,-11.167,27.008,Democratic Republic of the Congo,Kinshasa
Luiswishi,Cobalt,Stratiform sediment-hosted Cu-Co,-11.514,27.417,Democratic Republic of the Congo,Kinshasa
Lupoto,Cobalt,Stratiform sediment-hosted Cu-Co,-11.599,27.263,Democratic Republic of the Congo,Kinshasa
M'Sesa,Cobalt,Stratiform sediment-hosted Cu-Co,-10.85,26.583,Democratic Republic of the Congo,Kinshasa
Mukondo,Cobalt,Stratiform sediment-hosted Cu-Co,-10.725,26.348,Democratic Republic of the Congo,Kinshasa
Mutanda,Cobalt,Stratiform sediment-hosted Cu-Co,-10.786,25.813,Democratic Republic of the Congo,Kinshasa
Mutoshi,Cobalt,Stratiform sediment-hosted Cu-Co,-10.65,25.505,Democratic Republic of the Congo,Kinshasa
Tenke Fungurume,Cobalt,Stratiform sediment-hosted Cu-Co,-10.58,26.19,Democratic Republic of the Congo,Kinshasa
Tilwezembe,Cobalt,Stratiform sediment-hosted Cu-Co,-10.8,25.692,Democratic Republic of the Congo,Kinshasa
Boleo,Cobalt,Stratiform sediment-hosted Cu-Co,27.333,-112.3,Mexico,
Kilembe,Cobalt,Stratiform sediment-hosted Cu-Co,0.217,30.05,Uganda,
Sheep Creek,Cobalt,Stratiform sediment-hosted Cu-Co,46.725,-110.895,United States of America,Montana
Baluba-Muliashi-Luanshya,Cobalt,Stratiform sediment-hosted Cu-Co,-13.5,28.378,Zambia,
Chambishi Southeast,Cobalt,Stratiform sediment-hosted Cu-Co,-12.66,28.048,Zambia,
Chibuluma-Chibuluma West,Cobalt,Stratiform sediment-hosted Cu-Co,-12.915,28.082,Zambia,
Chimiwungo,Cobalt,Stratiform sediment-hosted Cu-Co,-12.179,25.851,Zambia,
Chingola-Nchanga,Cobalt,Stratiform sediment-hosted Cu-Co,-12.507,27.867,Zambia,
Kalumbila,Cobalt,Stratiform sediment-hosted Cu-Co,-12.21,25.345,Zambia,
Malundwe,Cobalt,Stratiform sediment-hosted Cu-Co,-12.162,25.754,Zambia,
Mindola-Nkana N-S,Cobalt,Stratiform sediment-hosted Cu-Co,-12.796,28.182,Zambia,
Nama,Cobalt,Stratiform sediment-hosted Cu-Co,-12.257,27.621,Zambia,
Talvivaara,Cobalt; Gallium,Black-Shale-Hosted Ni-Cu-Zn-Co; Ga in Clastic-dominated Pb-Zn,63.983,28.167,Finland,
Basil,Cobalt,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),-22.067,135.55,Australia,
Ernest Henry,Cobalt,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),-20.433,140.7,Australia,
Greenmount,Cobalt,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),-21.033,140.533,Australia,
Mount Oxide,Cobalt,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),-19.483,139.467,Australia,
Rover 1,Cobalt,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),-20.002,133.658,Australia,
Lala,Cobalt,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),26.1,101.9,China,
Guelb Moghrein,Cobalt,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),19.75,-14.383,Mauritania,
NICO,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,63.548,-116.751,Canada,
Werner Lake,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,50.469,-94.971,Canada,
Haarakumpu,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,66.424,28.574,Finland,
Juomasuo,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,66.289,29.2,Finland,
Kouvervaara,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,66.131,28.819,Finland,
Vähäjoki,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,66.112,25.279,Finland,
Skuterud,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,59.913,9.888,Norway,
Blackbird,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,45.123,-114.349,United States of America,Idaho
Chu Chu,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,51.381,-120.062,Canada,
Soucy No. 1,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,58.32,-69.87,Canada,
Windy Craggy,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,59.733,-137.733,Canada,
Deerni,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,34.395,100.131,China,
Dur'ngoi,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,34.334,100.238,China,
Luikonlahti,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,62.923,28.672,Finland,
Outokumpu,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,62.73,29.01,Finland,
